Title,Genres,Plot,Rating,Released_Year
Gran Torino,['Drama'],"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",8.1,2008.0
Harry Potter and the Deathly Hallows: Part 2,"['Adventure', 'Drama', 'Fantasy']","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,2011.0
Okuribito,"['Drama', 'Music']",A newly unemployed cellist takes a job preparing the dead for funerals.,8.1,2008.0
Hachi: A Dog's Tale,"['Biography', 'Drama', 'Family']",A college professor bonds with an abandoned dog he takes into his home.,8.1,2009.0
Mary and Max,"['Animation', 'Comedy', 'Drama']","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",8.1,2009.0
How to Train Your Dragon,"['Animation', 'Action', 'Adventure']","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",8.1,2010.0
Into the Wild,"['Adventure', 'Biography', 'Drama']","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",8.1,2007.0
No Country for Old Men,"['Crime', 'Drama', 'Thriller']",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,8.1,2007.0
Lage Raho Munna Bhai,"['Comedy', 'Drama', 'Romance']",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,8.1,2006.0
Million Dollar Baby,"['Drama', 'Sport']",A determined woman works with a hardened boxing trainer to become a professional.,8.1,2004.0
Hotel Rwanda,"['Biography', 'Drama', 'History']","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",8.1,2004.0
Taegukgi hwinalrimyeo,"['Action', 'Drama', 'War']","When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",8.1,2004.0
Before Sunset,"['Drama', 'Romance']","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",8.1,2004.0
Munna Bhai M.B.B.S.,"['Comedy', 'Drama', 'Musical']",A gangster sets out to fulfill his father's dream of becoming a doctor.,8.1,2003.0
Salinui chueok,"['Crime', 'Drama', 'Mystery']","In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",8.1,2003.0
Dil Chahta Hai,"['Comedy', 'Drama', 'Romance']","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",8.1,2001.0
Kill Bill: Vol. 1,"['Action', 'Crime', 'Drama']","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",8.1,2003.0
Finding Nemo,"['Animation', 'Adventure', 'Comedy']","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",8.1,2003.0
Catch Me If You Can,"['Biography', 'Crime', 'Drama']","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,2002.0
Amores perros,"['Drama', 'Thriller']","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",8.1,2000.0
"Monsters, Inc.","['Animation', 'Adventure', 'Comedy']","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",8.1,2001.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","['Animation', 'Action', 'Drama']",Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,8.1,1997.0
Lagaan: Once Upon a Time in India,"['Adventure', 'Drama', 'Musical']",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,8.1,2001.0
The Sixth Sense,"['Drama', 'Mystery', 'Thriller']",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,8.1,1999.0
La leggenda del pianista sull'oceano,"['Drama', 'Music', 'Romance']","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",8.1,1998.0
The Truman Show,"['Comedy', 'Drama']",An insurance salesman discovers his whole life is actually a reality TV show.,8.1,1998.0
"Crna macka, beli macor","['Comedy', 'Crime', 'Romance']",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,8.1,1998.0
The Big Lebowski,"['Comedy', 'Crime', 'Sport']","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",8.1,1998.0
Fa yeung nin wah,"['Drama', 'Romance']","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",8.1,2000.0
Trainspotting,['Drama'],"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",8.1,1996.0
Fargo,"['Crime', 'Drama', 'Thriller']",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,8.1,1996.0
Underground,"['Comedy', 'Drama', 'War']","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",8.1,1995.0
La haine,"['Crime', 'Drama']",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,1995.0
Dilwale Dulhania Le Jayenge,"['Drama', 'Romance']","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",8.1,1995.0
Before Sunrise,"['Drama', 'Romance']","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",8.1,1995.0
Trois couleurs: Rouge,"['Drama', 'Mystery', 'Romance']",A model discovers a retired judge is keen on invading people's privacy.,8.1,1994.0
Chung Hing sam lam,"['Comedy', 'Crime', 'Drama']","Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",8.1,1994.0
Jurassic Park,"['Action', 'Adventure', 'Sci-Fi']",A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,8.1,1993.0
In the Name of the Father,"['Biography', 'Crime', 'Drama']",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,8.1,1993.0
Ba wang bie ji,"['Drama', 'Music', 'Romance']",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,8.1,1993.0
Dà hóng denglong gaogao guà,"['Drama', 'History', 'Romance']","A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",8.1,1991.0
Dead Poets Society,"['Comedy', 'Drama']",Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,8.1,1989.0
Stand by Me,"['Adventure', 'Drama']","After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",8.1,1986.0
Platoon,"['Drama', 'War']","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",8.1,1986.0
"Paris, Texas",['Drama'],"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",8.1,1984.0
Kaze no tani no Naushika,"['Animation', 'Adventure', 'Fantasy']",Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,8.1,1984.0
The Thing,"['Horror', 'Mystery', 'Sci-Fi']",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,8.1,1982.0
Pink Floyd: The Wall,"['Drama', 'Fantasy', 'Music']",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,8.1,1982.0
Fitzcarraldo,"['Adventure', 'Drama']","The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",8.1,1982.0
Fanny och Alexander,['Drama'],"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",8.1,1982.0
Blade Runner,"['Action', 'Sci-Fi', 'Thriller']","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",8.1,1982.0
The Elephant Man,"['Biography', 'Drama']","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",8.1,1980.0
Life of Brian,['Comedy'],"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",8.1,1979.0
The Deer Hunter,"['Drama', 'War']",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,8.1,1978.0
Rocky,"['Drama', 'Sport']",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,8.1,1976.0
Network,['Drama'],A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,8.1,1976.0
Barry Lyndon,"['Adventure', 'Drama', 'History']",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,8.1,1975.0
Zerkalo,"['Biography', 'Drama']","A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",8.1,1975.0
Chinatown,"['Drama', 'Mystery', 'Thriller']","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",8.1,1974.0
Paper Moon,"['Comedy', 'Crime', 'Drama']","During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",8.1,1973.0
Viskningar och rop,['Drama'],"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",8.1,1972.0
Solaris,"['Drama', 'Mystery', 'Sci-Fi']",A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,8.1,1972.0
Le samouraï,"['Crime', 'Drama', 'Mystery']",After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,8.1,1967.0
Cool Hand Luke,"['Crime', 'Drama']","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",8.1,1967.0
Persona,"['Drama', 'Thriller']",A nurse is put in charge of a mute actress and finds that their personae are melding together.,8.1,1966.0
Andrei Rublev,"['Biography', 'Drama', 'History']","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",8.1,1966.0
La battaglia di Algeri,"['Drama', 'War']","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",8.1,1966.0
El ángel exterminador,"['Drama', 'Fantasy']",The guests at an upper-class dinner party find themselves unable to leave.,8.1,1962.0
What Ever Happened to Baby Jane?,"['Drama', 'Horror', 'Thriller']",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,8.1,1962.0
Sanjuro,"['Action', 'Comedy', 'Crime']","A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",8.1,1962.0
The Man Who Shot Liberty Valance,"['Drama', 'Western']",A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,8.1,1962.0
Ivanovo detstvo,"['Drama', 'War']","In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",8.1,1962.0
Jungfrukällan,['Drama'],"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",8.1,1960.0
Inherit the Wind,"['Biography', 'Drama', 'History']","Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",8.1,1960.0
Les quatre cents coups,"['Crime', 'Drama']","A young boy, left without attention, delves into a life of petty crime.",8.1,1959.0
Ben-Hur,"['Adventure', 'Drama', 'History']","After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,1959.0
Kakushi-toride no san-akunin,"['Adventure', 'Drama']","Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",8.1,1958.0
Le notti di Cabiria,['Drama'],A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,8.1,1957.0
Kumonosu-jô,"['Drama', 'History']","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",8.1,1957.0
The Bridge on the River Kwai,"['Adventure', 'Drama', 'War']","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",8.1,1957.0
On the Waterfront,"['Crime', 'Drama', 'Thriller']",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,8.1,1954.0
Le salaire de la peur,"['Adventure', 'Drama', 'Thriller']","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",8.1,1953.0
Ace in the Hole,"['Drama', 'Film-Noir']","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",8.1,1951.0
White Heat,"['Action', 'Crime', 'Drama']",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,8.1,1949.0
The Third Man,"['Film-Noir', 'Mystery', 'Thriller']","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,1949.0
The Red Shoes,"['Drama', 'Music', 'Romance']",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,8.1,1948.0
The Shop Around the Corner,"['Comedy', 'Drama', 'Romance']","Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",8.1,1940.0
Rebecca,"['Drama', 'Mystery', 'Romance']",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,8.1,1940.0
Mr. Smith Goes to Washington,"['Comedy', 'Drama']","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",8.1,1939.0
Gone with the Wind,"['Drama', 'History', 'Romance']",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,8.1,1939.0
La Grande Illusion,"['Drama', 'War']","During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",8.1,1937.0
It Happened One Night,"['Comedy', 'Romance']","A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",8.1,1934.0
La passion de Jeanne d'Arc,"['Biography', 'Drama', 'History']","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",8.1,1928.0
The Circus,"['Comedy', 'Romance']",The Tramp finds work and the girl of his dreams at a circus.,8.1,1928.0
Sunrise: A Song of Two Humans,"['Drama', 'Romance']",An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,8.1,1927.0
The General,"['Action', 'Adventure', 'Comedy']","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",8.1,1926.0
Das Cabinet des Dr. Caligari,"['Fantasy', 'Horror', 'Mystery']","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",8.1,1920.0
Badhaai ho,"['Comedy', 'Drama']",A man is embarrassed when he finds out his mother is pregnant.,8.0,2018.0
Togo,"['Adventure', 'Biography', 'Drama']","The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",8.0,2019.0
Airlift,"['Drama', 'History']","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",8.0,2016.0
Bajrangi Bhaijaan,"['Action', 'Adventure', 'Comedy']",An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,8.0,2015.0
Baby,"['Action', 'Crime', 'Thriller']","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",8.0,2015.0
La La Land,"['Comedy', 'Drama', 'Music']","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,2016.0
Lion,"['Biography', 'Drama']","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",8.0,2016.0
The Martian,"['Adventure', 'Drama', 'Sci-Fi']","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",8.0,2015.0
Zootopia,"['Animation', 'Adventure', 'Comedy']","In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",8.0,2016.0
Bãhubali: The Beginning,"['Action', 'Drama']","In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",8.0,2015.0
Kaguyahime no monogatari,"['Animation', 'Adventure', 'Drama']","Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",8.0,2013.0
Wonder,"['Drama', 'Family']","Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",8.0,2017.0
Gully Boy,"['Drama', 'Music', 'Romance']",A coming-of-age story based on the lives of street rappers in Mumbai.,8.0,2019.0
Special Chabbis,"['Crime', 'Drama', 'Thriller']",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,8.0,2013.0
Short Term 12,['Drama'],A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,8.0,2013.0
Serbuan maut 2: Berandal,"['Action', 'Crime', 'Thriller']","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",8.0,2014.0
The Imitation Game,"['Biography', 'Drama', 'Thriller']","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",8.0,2014.0
Guardians of the Galaxy,"['Action', 'Adventure', 'Comedy']",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,2014.0
Blade Runner 2049,"['Action', 'Drama', 'Mystery']","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",8.0,2017.0
Her,"['Drama', 'Romance', 'Sci-Fi']","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",8.0,2013.0
Bohemian Rhapsody,"['Biography', 'Drama', 'Music']","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",8.0,2018.0
The Revenant,"['Action', 'Adventure', 'Drama']",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,8.0,2015.0
The Perks of Being a Wallflower,"['Drama', 'Romance']",An introvert freshman is taken under the wings of two seniors who welcome him to the real world,8.0,2012.0
Tropa de Elite 2: O Inimigo Agora é Outro,"['Action', 'Crime', 'Drama']","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",8.0,2010.0
The King's Speech,"['Biography', 'Drama', 'History']","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",8.0,2010.0
The Help,['Drama'],"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",8.0,2011.0
Deadpool,"['Action', 'Adventure', 'Comedy']","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",8.0,2016.0
Darbareye Elly,"['Drama', 'Mystery']",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,8.0,2009.0
Dev.D,"['Drama', 'Romance']","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",8.0,2009.0
Yip Man,"['Action', 'Biography', 'Drama']","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",8.0,2008.0
My Name Is Khan,['Drama'],An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,8.0,2010.0
Nefes: Vatan Sagolsun,"['Action', 'Drama', 'Thriller']",Story of 40-man Turkish task force who must defend a relay station.,8.0,2009.0
Slumdog Millionaire,"['Drama', 'Romance']","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",8.0,2008.0
Black Swan,"['Drama', 'Thriller']","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",8.0,2010.0
Tropa de Elite,"['Action', 'Crime', 'Drama']","In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",8.0,2007.0
The Avengers,"['Action', 'Adventure', 'Sci-Fi']",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,2012.0
Persepolis,"['Animation', 'Biography', 'Drama']",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,8.0,2007.0
Dallas Buyers Club,"['Biography', 'Drama']","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",8.0,2013.0
The Pursuit of Happyness,"['Biography', 'Drama']",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,8.0,2006.0
Blood Diamond,"['Adventure', 'Drama', 'Thriller']","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",8.0,2006.0
The Bourne Ultimatum,"['Action', 'Mystery', 'Thriller']",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,8.0,2007.0
Bin-jip,"['Crime', 'Drama', 'Romance']",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,8.0,2004.0
Sin City,"['Crime', 'Thriller']","A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",8.0,2005.0
Le scaphandre et le papillon,"['Biography', 'Drama']",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,8.0,2007.0
G.O.R.A.,"['Adventure', 'Comedy', 'Sci-Fi']",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,8.0,2004.0
Ratatouille,"['Animation', 'Adventure', 'Comedy']",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,8.0,2007.0
Casino Royale,"['Action', 'Adventure', 'Thriller']","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",8.0,2006.0
Kill Bill: Vol. 2,"['Action', 'Crime', 'Thriller']","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",8.0,2004.0
Vozvrashchenie,['Drama'],"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",8.0,2003.0
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"['Drama', 'Romance']",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,8.0,2003.0
Mar adentro,"['Biography', 'Drama']","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",8.0,2014.0
Cinderella Man,"['Biography', 'Drama', 'History']","The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",8.0,2005.0
Kal Ho Naa Ho,"['Comedy', 'Drama', 'Musical']","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",8.0,2003.0
Mou gaan dou,"['Action', 'Crime', 'Drama']","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",8.0,2002.0
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action', 'Adventure', 'Fantasy']","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",8.0,2003.0
Big Fish,"['Adventure', 'Drama', 'Fantasy']",A frustrated son tries to determine the fact from fiction in his dying father's life.,8.0,2003.0
The Incredibles,"['Animation', 'Action', 'Adventure']","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",8.0,2004.0
Yeopgijeogin geunyeo,"['Comedy', 'Drama', 'Romance']","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",8.0,2001.0
Dogville,"['Crime', 'Drama']","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",8.0,2003.0
Vizontele,"['Comedy', 'Drama']",Lives of residents in a small Anatolian village change when television is introduced to them,8.0,2001.0
Donnie Darko,"['Drama', 'Mystery', 'Sci-Fi']","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",8.0,2001.0
Magnolia,['Drama'],"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",8.0,1999.0
Dancer in the Dark,"['Crime', 'Drama', 'Musical']","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",8.0,2000.0
The Straight Story,"['Biography', 'Drama']",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,8.0,1999.0
Pâfekuto burû,"['Animation', 'Crime', 'Mystery']","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",8.0,1997.0
Festen,['Drama'],"At Helge's 60th birthday party, some unpleasant family truths are revealed.",8.0,1998.0
Central do Brasil,['Drama'],"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",8.0,1998.0
The Iron Giant,"['Animation', 'Action', 'Adventure']",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,8.0,1999.0
Knockin' on Heaven's Door,"['Action', 'Crime', 'Comedy']","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",8.0,1997.0
Sling Blade,['Drama'],"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",8.0,1996.0
Secrets & Lies,"['Comedy', 'Drama']","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",8.0,1996.0
Twelve Monkeys,"['Mystery', 'Sci-Fi', 'Thriller']","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.0,1995.0
